N.Registro,Nombre,GPS.Longitud,GPS.Latitud,Fecha.Inicio (convenio),Fecha.Termino (convenio),Pais,Estado,Municipio,Dirección,Colonia,C.Postal,Rep.Legal,Telefono,Email,,,,,,,
1,"El Colegio de Abogados de Jalisco Foro Federalista ""Lic. Alberto Orozco Romero""",-103.367803,20.694661,23-09-2014,23-09-2017,Mexico,Jalisco,Guadalajara,Calle Nicolás Romero #174,Colonia Villaseñor,,Jose Ramon Alberto leal Hernadez,,,,,,,,,
2,El Fortin de la Labor S.A de C.v,-103.360309,20.673978,29-10-2014,29-10-2017,Mexico,Jalisco,Guadalajara,Calle Av. Niños Heroes #2100 ,Colonia Barrera,,Edgar Lucke Gracian,,,,,,,,,
3,El Colegio de Formacion Academica Fray Pedro de Gante S.c,-99.14124,19.369305,11-06-2014,11-06-2017,Mexico,Mexico,CDMX,Calzada de Tlalpan #1312 Altos Portales Oriente Benito Juarez,,3570,Juan Luis Solis Mendez,,,,,,,,,
4,Universidad de Colima ,-103.698756,19.249014,Null,28-02-2017,Mexico,Colima,Colima ,Av. Universidad #333 , Colonia las Vivoras de la Ciudad de Colima,,José Eduardo Hernandez  Nava,,,,,,,,,
5,"Investigacion y Desarrollo de Nanomateriales, S.A. de C.V.",-101.015255,22.178755,30-01-2014,30-01-2017,Mexico,San luis potosi,San Luis Potosi,Calle Satelite Sur #946 del Fraccionamiento Haciendas Mezquital,,78130,Raquel Tovar Urtado,,,,,,,,,
6,El Comodatario,-103.358941,20.675434,21-07-2014,21-07-2017,Mexico,Jalisco,Guadalajara,Avenida Juárez #976, Colonia Centro,44100,Carmen Enedina Rodriguez Armenta,,,,,,,,,
7,Centro de Enseñanza y Capacitacion Visoes S.C,-110.955461,29.128006,29-07-2014,29-07-2017,Mexico,Sonora ,Hermosillo ,Calle Mision de Remedios #9 ,Colonia Bachoco,,Martha Elizabeth Soto Alapizco,,,,,,,,,
8,Integro,-103.356279,20.673383,03-03-2015,03-03-2018,Mexico,Jalisco,Guadalajara,Calle Francisco I Madero #729,Colonia Americana,44190,Sergio Javier Vazquez Martinez,,,,,,,,,
9,Instituto Tecnologico Superior de Tala,-103.685656,20.645267,07-05-2015,07-05-2018,Mexico,Jalisco,Tala,,,,Armando Perez Sanchez,,,,,,,,,
10,Celula Expertis S.C,-103.419704,20.627379,14-10-2015,14-10-2018,Mexico,Jalisco,Zapopan,Calle Virgen #5535,Colonia Arboledas,45070,Raúl Meza Ayala,,,,,,,,,
11,Gobierno del Estado,-103.347974,20.699191,01-04-2015,01-04-2018,Mexico,Jalisco,Guadalajara,Av. Prolongacion Alcalde #1221 Mezaine,Colonia Miraflores,,Jorge Aristoteles Sandoval Diaz,,,,,,,,,
